date,X,Y,Z
2024-06-11 10:22:00,17177.3,4.2807,47436.2
2024-06-11 10:23:00,17177.7,4.2814,47436.3
2024-06-11 10:24:00,17178.5,4.2822,47436.5
2024-06-11 10:25:00,17178.8,4.282,47436.7
2024-06-11 10:26:00,17178.2,4.2803,47436.3
2024-06-11 10:27:00,17178.2,4.2814,47436.5
2024-06-11 10:28:00,17179.0,4.2773,47436.7
2024-06-11 10:29:00,17179.5,4.2761,47436.5
2024-06-11 10:30:00,17179.6,4.2774,47437.0
2024-06-11 10:31:00,17179.6,4.2743,47436.9
2024-06-11 10:32:00,17179.9,4.2741,47437.1
2024-06-11 10:33:00,17180.7,4.2745,47437.3
2024-06-11 10:34:00,17181.1,4.2728,47437.4
2024-06-11 10:35:00,17181.9,4.2726,47437.6
2024-06-11 10:36:00,17181.8,4.2719,47437.7
2024-06-11 10:37:00,17182.0,4.2714,47438.1
2024-06-11 10:38:00,17181.1,4.2649,47437.8
2024-06-11 10:39:00,17179.4,4.2624,47437.3
2024-06-11 10:40:00,17180.6,4.2638,47437.3
2024-06-11 10:41:00,17179.9,4.2625,47437.4
2024-06-11 10:42:00,17180.8,4.2631,47437.3
2024-06-11 10:43:00,17179.6,4.2604,47437.3
2024-06-11 10:44:00,17179.6,4.2589,47437.1
2024-06-11 10:45:00,17180.0,4.2568,47437.1
2024-06-11 10:46:00,17181.4,4.2565,47437.2
2024-06-11 10:47:00,17182.3,4.2554,47437.3
2024-06-11 10:48:00,17182.2,4.2553,47437.7
2024-06-11 10:49:00,17182.4,4.2546,47437.8
2024-06-11 10:50:00,17182.7,4.2543,47437.9
2024-06-11 10:51:00,17182.9,4.2516,47438.0
2024-06-11 10:52:00,17182.6,4.2493,47438.1
2024-06-11 10:53:00,17182.3,4.2504,47438.1
2024-06-11 10:54:00,17182.1,4.2497,47437.9
2024-06-11 10:55:00,17181.9,4.2489,47438.1
2024-06-11 10:56:00,17182.2,4.2476,47437.8
2024-06-11 10:57:00,17182.8,4.2458,47438.1
2024-06-11 10:58:00,17183.0,4.2428,47438.1
2024-06-11 10:59:00,17183.8,4.2422,47438.1
2024-06-11 11:00:00,17183.9,4.2407,47438.3
2024-06-11 11:01:00,17183.9,4.2402,47438.3
2024-06-11 11:02:00,17183.8,4.2383,47438.4
2024-06-11 11:03:00,17183.3,4.2381,47438.3
2024-06-11 11:04:00,17183.6,4.2374,47438.3
2024-06-11 11:05:00,17183.7,4.2342,47438.3
2024-06-11 11:06:00,17183.4,4.2347,47438.3
2024-06-11 11:07:00,17183.4,4.2338,47438.3
2024-06-11 11:08:00,17183.2,4.232,47438.3
2024-06-11 11:09:00,17183.5,4.2313,47438.3
2024-06-11 11:10:00,17184.8,4.2314,47438.6
2024-06-11 11:11:00,17186.2,4.2304,47438.8
2024-06-11 11:12:00,17185.8,4.2283,47439.3
2024-06-11 11:13:00,17184.8,4.2256,47439.1
2024-06-11 11:14:00,17183.7,4.2246,47439.0
2024-06-11 11:15:00,17182.1,4.2207,47438.8
2024-06-11 11:16:00,17182.3,4.2201,47438.4
2024-06-11 11:17:00,17182.9,4.2196,47438.6
2024-06-11 11:18:00,17183.1,4.2186,47438.6
2024-06-11 11:19:00,17183.2,4.2177,47438.7
2024-06-11 11:20:00,17183.5,4.2178,47439.0
2024-06-11 11:21:00,17183.9,4.2176,47439.1
2024-06-11 11:22:00,17184.0,4.2179,47439.4
2024-06-11 11:23:00,17183.8,4.2172,47439.6
2024-06-11 11:24:00,17182.6,4.2155,47439.7
2024-06-11 11:25:00,17181.3,4.213,47439.6
2024-06-11 11:26:00,17179.2,4.2094,47439.1
2024-06-11 11:27:00,17179.1,4.2092,47438.8
2024-06-11 11:28:00,17179.6,4.2091,47438.8
2024-06-11 11:29:00,17180.3,4.2089,47439.0
2024-06-11 11:30:00,17181.1,4.209,47439.4
2024-06-11 11:31:00,17181.6,4.2077,47439.7
2024-06-11 11:32:00,17181.6,4.2053,47440.1
2024-06-11 11:33:00,17182.1,4.204,47440.3
2024-06-11 11:34:00,17183.0,4.2036,47440.6
2024-06-11 11:35:00,17182.8,4.2019,47440.9
2024-06-11 11:36:00,17183.2,4.2015,47441.1
2024-06-11 11:37:00,17183.0,4.2007,47441.5
2024-06-11 11:38:00,17182.5,4.1984,47441.4
2024-06-11 11:39:00,17183.4,4.196,47441.6
2024-06-11 11:40:00,17182.6,4.1945,47441.7
2024-06-11 11:41:00,17183.6,4.194,47441.7
2024-06-11 11:42:00,17184.4,4.1939,47442.2
2024-06-11 11:43:00,17184.4,4.1923,47442.4
2024-06-11 11:44:00,17185.2,4.1905,47442.6
2024-06-11 11:45:00,17186.7,4.1909,47443.1
2024-06-11 11:46:00,17186.7,4.1906,47443.4
2024-06-11 11:47:00,17187.6,4.1899,47443.7
2024-06-11 11:48:00,17188.1,4.1894,47444.1
2024-06-11 11:49:00,17187.6,4.1886,47444.2
2024-06-11 11:50:00,17187.3,4.1866,47444.2
2024-06-11 11:51:00,17186.8,4.1838,47444.3
2024-06-11 11:52:00,17187.5,4.1813,47444.0
2024-06-11 11:53:00,17186.4,4.1804,47444.1
2024-06-11 11:54:00,17186.6,4.1783,47443.8
2024-06-11 11:55:00,17188.7,4.1813,47444.1
2024-06-11 11:56:00,17189.8,4.1822,47444.6
2024-06-11 11:57:00,17190.7,4.1829,47445.0
2024-06-11 11:58:00,17190.2,4.1813,47445.2
2024-06-11 11:59:00,17189.0,4.1781,47445.0
2024-06-11 12:00:00,17188.5,4.177,47444.6
2024-06-11 12:01:00,17188.6,4.1773,47444.6
2024-06-11 12:02:00,17188.6,4.1737,47444.3
2024-06-11 12:03:00,17189.9,4.1722,47444.3
2024-06-11 12:04:00,17191.8,4.1722,47444.7
2024-06-11 12:05:00,17193.2,4.172,47444.9
2024-06-11 12:06:00,17193.0,4.1723,47445.4
2024-06-11 12:07:00,17192.8,4.1716,47445.4
2024-06-11 12:08:00,17190.7,4.1711,47445.3
2024-06-11 12:09:00,17189.1,4.1721,47445.0
2024-06-11 12:10:00,17187.7,4.1697,47444.5
2024-06-11 12:11:00,17187.9,4.17,47444.1
2024-06-11 12:12:00,17188.9,4.1746,47444.2
2024-06-11 12:13:00,17188.4,4.1734,47444.4
2024-06-11 12:14:00,17187.7,4.1728,47444.1
2024-06-11 12:15:00,17188.5,4.1733,47444.3
2024-06-11 12:16:00,17188.4,4.1741,47444.5
2024-06-11 12:17:00,17188.8,4.1723,47444.6
2024-06-11 12:18:00,17189.3,4.1715,47444.6
2024-06-11 12:19:00,17190.1,4.1706,47444.7
2024-06-11 12:20:00,17190.8,4.1712,47444.9
2024-06-11 12:21:00,17192.1,4.1719,47445.3
2024-06-11 12:22:00,17193.3,4.1714,47445.6
2024-06-11 12:23:00,17194.1,4.1705,47445.9
2024-06-11 12:24:00,17195.1,4.1719,47446.3
2024-06-11 12:25:00,17196.1,4.1702,47446.6
2024-06-11 12:26:00,17196.9,4.1707,47446.8
2024-06-11 12:27:00,17197.4,4.1713,47447.2
2024-06-11 12:28:00,17197.9,4.1718,47447.4
2024-06-11 12:29:00,17198.6,4.1711,47447.6
2024-06-11 12:30:00,17198.8,4.1715,47447.7
2024-06-11 12:31:00,17199.4,4.1713,47447.8
2024-06-11 12:32:00,17199.7,4.1703,47448.0
2024-06-11 12:33:00,17199.1,4.1698,47447.8
2024-06-11 12:34:00,17199.0,4.1689,47447.8
2024-06-11 12:35:00,17199.3,4.1671,47447.8
2024-06-11 12:36:00,17199.4,4.1681,47447.7
2024-06-11 12:37:00,17199.2,4.1671,47447.8
2024-06-11 12:38:00,17199.5,4.1668,47447.6
2024-06-11 12:39:00,17200.5,4.1677,47447.8
2024-06-11 12:40:00,17201.1,4.1685,47447.9
2024-06-11 12:41:00,17201.7,4.1688,47448.1
2024-06-11 12:42:00,17201.4,4.1678,47448.3
2024-06-11 12:43:00,17200.8,4.1672,47448.1
2024-06-11 12:44:00,17201.0,4.1681,47448.2
2024-06-11 12:45:00,17200.7,4.1693,47448.3
2024-06-11 12:46:00,17200.7,4.1691,47448.2
2024-06-11 12:47:00,17200.6,4.1685,47448.1
2024-06-11 12:48:00,17200.6,4.1664,47448.1
2024-06-11 12:49:00,17201.1,4.1663,47448.1
2024-06-11 12:50:00,17201.4,4.1665,47448.2
2024-06-11 12:51:00,17201.4,4.1657,47448.3
2024-06-11 12:52:00,17201.9,4.1662,47448.4
2024-06-11 12:53:00,17202.4,4.1672,47448.8
2024-06-11 12:54:00,17202.3,4.1681,47449.0
2024-06-11 12:55:00,17202.0,4.1667,47449.1
2024-06-11 12:56:00,17202.0,4.1663,47448.9
2024-06-11 12:57:00,17202.9,4.1676,47449.3
2024-06-11 12:58:00,17202.8,4.1661,47449.4
2024-06-11 12:59:00,17202.6,4.1661,47449.4
2024-06-11 13:00:00,17202.9,4.1664,47449.6
2024-06-11 13:01:00,17203.4,4.1652,47449.6
2024-06-11 13:02:00,17204.3,4.1647,47449.8
2024-06-11 13:03:00,17205.2,4.165,47450.2
2024-06-11 13:04:00,17205.2,4.165,47450.4
2024-06-11 13:05:00,17205.5,4.164,47450.6
2024-06-11 13:06:00,17206.2,4.1641,47450.7
2024-06-11 13:07:00,17207.6,4.165,47451.1
2024-06-11 13:08:00,17207.8,4.166,47451.7
2024-06-11 13:09:00,17208.2,4.167,47451.8
2024-06-11 13:10:00,17208.6,4.1671,47452.3
2024-06-11 13:11:00,17208.7,4.1668,47452.3
2024-06-11 13:12:00,17209.4,4.167,47452.6
2024-06-11 13:13:00,17209.7,4.1675,47452.8
2024-06-11 13:14:00,17209.0,4.1682,47452.8
2024-06-11 13:15:00,17209.0,4.1679,47453.0
2024-06-11 13:16:00,17209.5,4.1673,47452.9
2024-06-11 13:17:00,17210.0,4.1665,47453.0
2024-06-11 13:18:00,17209.5,4.1658,47453.2
2024-06-11 13:19:00,17209.4,4.1651,47453.0
2024-06-11 13:20:00,17210.2,4.166,47453.0
2024-06-11 13:21:00,17210.7,4.1663,47453.2
2024-06-11 13:22:00,17211.6,4.1671,47453.4
2024-06-11 13:23:00,17211.3,4.1685,47453.7
2024-06-11 13:24:00,17211.1,4.1682,47453.6
2024-06-11 13:25:00,17209.3,4.1679,47453.6
2024-06-11 13:26:00,17208.7,4.1668,47453.1
2024-06-11 13:27:00,17209.1,4.1675,47452.8
2024-06-11 13:28:00,17209.9,4.1678,47452.8
2024-06-11 13:29:00,17210.2,4.1676,47452.8
2024-06-11 13:30:00,17210.8,4.169,47452.9
2024-06-11 13:31:00,17211.6,4.1707,47453.3
2024-06-11 13:32:00,17211.2,4.1703,47453.4
2024-06-11 13:33:00,17211.1,4.172,47453.5
2024-06-11 13:34:00,17210.3,4.1732,47453.5
2024-06-11 13:35:00,17211.2,4.1728,47453.3
2024-06-11 13:36:00,17211.6,4.174,47453.6
2024-06-11 13:37:00,17211.2,4.1757,47453.6
2024-06-11 13:38:00,17210.8,4.1759,47453.6
2024-06-11 13:39:00,17210.6,4.1763,47453.6
2024-06-11 13:40:00,17210.0,4.1776,47453.5
2024-06-11 13:41:00,17209.4,4.1778,47453.4
2024-06-11 13:42:00,17210.5,4.1765,47453.3
2024-06-11 13:43:00,17212.4,4.1766,47453.3
2024-06-11 13:44:00,17214.8,4.179,47453.9
2024-06-11 13:45:00,17216.0,4.1794,47454.6
2024-06-11 13:46:00,17216.2,4.1808,47455.1
