date,X,Y,Z
2024-08-13 23:46:00,7087.0,8.5648,54682.9
2024-08-13 23:47:00,7084.8,8.5407,54678.2
2024-08-13 23:48:00,7083.8,8.5431,54675.6
2024-08-13 23:49:00,7081.4,8.5697,54674.2
2024-08-13 23:50:00,7080.2,8.6604,54680.4
2024-08-13 23:51:00,7079.1,8.7214,54688.4
2024-08-13 23:52:00,7078.7,8.7175,54689.8
2024-08-13 23:53:00,7082.0,8.7194,54688.5
2024-08-13 23:54:00,7084.6,8.7533,54689.6
2024-08-13 23:55:00,7081.8,8.7685,54690.4
2024-08-13 23:56:00,7079.0,8.7784,54689.2
2024-08-13 23:57:00,7083.6,8.7883,54689.2
2024-08-13 23:58:00,7091.1,8.7784,54690.5
2024-08-13 23:59:00,7093.6,8.7547,54689.0
2024-08-14 00:00:00,7092.7,8.7568,54689.1
2024-08-14 00:01:00,7093.8,8.7557,54691.1
2024-08-14 00:02:00,7095.3,8.7752,54695.5
2024-08-14 00:03:00,7096.2,8.7639,54696.8
2024-08-14 00:04:00,7098.0,8.7551,54697.5
2024-08-14 00:05:00,7100.4,8.7797,54702.9
2024-08-14 00:06:00,7102.2,8.7897,54708.0
2024-08-14 00:07:00,7100.7,8.7784,54709.6
2024-08-14 00:08:00,7098.5,8.7541,54709.5
2024-08-14 00:09:00,7099.9,8.7634,54712.8
2024-08-14 00:10:00,7102.0,8.7808,54715.5
2024-08-14 00:11:00,7105.0,8.7886,54718.2
2024-08-14 00:12:00,7106.8,8.7769,54719.5
2024-08-14 00:13:00,7108.3,8.8029,54726.3
2024-08-14 00:14:00,7113.5,8.8061,54731.6
2024-08-14 00:15:00,7119.6,8.8246,54735.5
2024-08-14 00:16:00,7121.6,8.8957,54740.4
2024-08-14 00:17:00,7123.6,8.9058,54737.9
2024-08-14 00:18:00,7120.7,8.9263,54735.0
2024-08-14 00:19:00,7120.2,8.9751,54736.3
2024-08-14 00:20:00,7116.0,9.0145,54737.2
2024-08-14 00:21:00,7112.7,9.0488,54737.3
2024-08-14 00:22:00,7113.1,9.0763,54738.3
2024-08-14 00:23:00,7114.0,9.0778,54738.0
2024-08-14 00:24:00,7112.4,9.0758,54736.8
2024-08-14 00:25:00,7110.6,9.0774,54736.3
2024-08-14 00:26:00,7108.6,9.0811,54735.9
2024-08-14 00:27:00,7108.0,9.0881,54735.9
2024-08-14 00:28:00,7107.3,9.0642,54732.6
2024-08-14 00:29:00,7105.4,9.036,54727.8
2024-08-14 00:30:00,7104.5,9.0362,54726.3
2024-08-14 00:31:00,7104.9,9.0391,54725.6
2024-08-14 00:32:00,7104.9,9.046,54724.9
2024-08-14 00:33:00,7103.7,9.0613,54724.7
2024-08-14 00:34:00,7101.5,9.0633,54723.8
2024-08-14 00:35:00,7099.3,9.0772,54721.7
2024-08-14 00:36:00,7099.0,9.093,54720.4
2024-08-14 00:37:00,7095.2,9.1026,54718.6
2024-08-14 00:38:00,7091.7,9.1062,54716.4
2024-08-14 00:39:00,7089.4,9.0829,54711.3
2024-08-14 00:40:00,7086.8,9.0791,54707.9
2024-08-14 00:41:00,7083.1,9.0672,54704.2
2024-08-14 00:42:00,7081.2,9.0587,54700.7
2024-08-14 00:43:00,7079.7,9.0557,54699.1
2024-08-14 00:44:00,7077.3,9.0722,54699.9
2024-08-14 00:45:00,7074.8,9.0872,54701.3
2024-08-14 00:46:00,7072.3,9.0933,54702.4
2024-08-14 00:47:00,7070.3,9.1065,54703.6
2024-08-14 00:48:00,7070.4,9.118,54705.0
2024-08-14 00:49:00,7069.7,9.1287,54706.2
2024-08-14 00:50:00,7068.1,9.1574,54708.6
2024-08-14 00:51:00,7068.0,9.1884,54711.8
2024-08-14 00:52:00,7069.5,9.1888,54712.7
2024-08-14 00:53:00,7069.4,9.1885,54711.9
2024-08-14 00:54:00,7067.1,9.1952,54711.8
