date,X,Y,Z
2024-06-01 10:27:00,14489.4,2.1292,49384.5
2024-06-01 10:28:00,14489.5,2.1272,49384.6
2024-06-01 10:29:00,14489.9,2.1263,49384.7
2024-06-01 10:30:00,14489.5,2.1257,49385.0
2024-06-01 10:31:00,14489.8,2.1252,49384.9
2024-06-01 10:32:00,14490.3,2.1241,49385.2
2024-06-01 10:33:00,14490.6,2.1228,49385.0
2024-06-01 10:34:00,14491.2,2.121,49385.0
2024-06-01 10:35:00,14491.7,2.1194,49384.9
2024-06-01 10:36:00,14492.2,2.1185,49384.9
2024-06-01 10:37:00,14492.7,2.1175,49385.4
2024-06-01 10:38:00,14493.0,2.1158,49385.4
2024-06-01 10:39:00,14494.3,2.1131,49385.5
2024-06-01 10:40:00,14495.2,2.1107,49385.5
2024-06-01 10:41:00,14495.4,2.1083,49385.6
2024-06-01 10:42:00,14495.7,2.1059,49385.6
2024-06-01 10:43:00,14495.9,2.1049,49385.6
2024-06-01 10:44:00,14496.0,2.1031,49385.9
2024-06-01 10:45:00,14496.4,2.1012,49386.3
2024-06-01 10:46:00,14496.9,2.0991,49386.2
2024-06-01 10:47:00,14497.8,2.0966,49386.3
2024-06-01 10:48:00,14498.7,2.0935,49386.6
2024-06-01 10:49:00,14499.8,2.0923,49387.0
2024-06-01 10:50:00,14500.4,2.0913,49387.5
2024-06-01 10:51:00,14500.8,2.0897,49387.7
2024-06-01 10:52:00,14501.1,2.0882,49388.3
2024-06-01 10:53:00,14501.9,2.0859,49388.8
2024-06-01 10:54:00,14502.3,2.0826,49388.9
2024-06-01 10:55:00,14502.7,2.0812,49389.1
2024-06-01 10:56:00,14502.5,2.0798,49389.2
2024-06-01 10:57:00,14502.7,2.0799,49389.9
2024-06-01 10:58:00,14503.9,2.0792,49390.5
2024-06-01 10:59:00,14504.9,2.0765,49391.0
2024-06-01 11:00:00,14505.2,2.0744,49391.2
2024-06-01 11:01:00,14505.9,2.0739,49391.5
2024-06-01 11:02:00,14506.1,2.0718,49391.8
2024-06-01 11:03:00,14506.3,2.0706,49391.9
2024-06-01 11:04:00,14506.8,2.0685,49392.1
2024-06-01 11:05:00,14506.9,2.0654,49391.9
2024-06-01 11:06:00,14507.1,2.0624,49391.8
2024-06-01 11:07:00,14506.5,2.0604,49391.6
2024-06-01 11:08:00,14506.6,2.0592,49391.8
2024-06-01 11:09:00,14507.2,2.057,49392.0
2024-06-01 11:10:00,14506.9,2.0553,49392.2
2024-06-01 11:11:00,14507.3,2.0541,49392.3
2024-06-01 11:12:00,14507.2,2.0521,49392.2
2024-06-01 11:13:00,14507.3,2.0517,49392.3
2024-06-01 11:14:00,14507.1,2.0507,49392.5
2024-06-01 11:15:00,14506.8,2.0491,49392.5
2024-06-01 11:16:00,14506.7,2.0476,49392.4
2024-06-01 11:17:00,14505.8,2.0462,49392.6
2024-06-01 11:18:00,14505.9,2.0439,49392.4
2024-06-01 11:19:00,14505.9,2.0439,49392.6
2024-06-01 11:20:00,14505.7,2.0427,49392.9
2024-06-01 11:21:00,14505.9,2.0416,49392.8
2024-06-01 11:22:00,14506.3,2.0393,49392.8
2024-06-01 11:23:00,14507.1,2.0371,49392.8
2024-06-01 11:24:00,14507.8,2.0337,49392.7
2024-06-01 11:25:00,14508.5,2.0331,49392.8
2024-06-01 11:26:00,14508.2,2.0321,49392.8
2024-06-01 11:27:00,14507.3,2.0332,49393.5
2024-06-01 11:28:00,14506.7,2.0335,49393.8
2024-06-01 11:29:00,14505.8,2.0342,49394.3
2024-06-01 11:30:00,14506.1,2.0352,49394.8
2024-06-01 11:31:00,14506.3,2.035,49395.0
2024-06-01 11:32:00,14505.3,2.0336,49394.9
2024-06-01 11:33:00,14504.6,2.0332,49394.7
2024-06-01 11:34:00,14503.7,2.0311,49394.2
2024-06-01 11:35:00,14503.2,2.0308,49393.7
2024-06-01 11:36:00,14502.8,2.0292,49393.2
2024-06-01 11:37:00,14502.1,2.0276,49392.9
2024-06-01 11:38:00,14502.2,2.0265,49392.6
2024-06-01 11:39:00,14502.7,2.0245,49392.4
2024-06-01 11:40:00,14502.9,2.0259,49392.9
2024-06-01 11:41:00,14503.4,2.025,49392.9
2024-06-01 11:42:00,14504.3,2.0238,49393.5
