UT,arc,discrete,diffuse,ac,ab,clear,cloudy,dd
20220121101225,1.2,0.1,0.4,4.3,0.8,7.2,44.8,41.3
20220121141200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121141930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121142930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121143930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20220121144701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
